jira_key,schedule_key,project_key,summary,status,rollup_mode,rollup_key,rollup_name,row_role,fix_version,drives_schedule,primary_schedule_key,resource_group,key_prefix,total_story_points,completed_story_points,logged_hours,completed_logged_hours,hours_accuracy_percent,percent_complete,in_planning,completed,target_start,target_end,predecessors,successors,dependency_review
DATA-3002,DATA-3002,DATA,Scale Rows - Data Platform - Metrics certification wave 03,In Progress,initiative,INIT-1500,Forecasting Program,Scheduled,,Yes,DATA-3002,Data Engineering,DATA,21.0,4.0,21.0,7.0,21.9,19,No,No,2026-07-06,2026-08-17,,,
DATA-3005,DATA-3005,DATA,Scale Rows - Data Platform - Retention model update wave 06,In Progress,initiative,INIT-1500,Forecasting Program,Scheduled,,Yes,DATA-3005,Data Engineering,DATA,19.0,11.0,13.0,8.0,9.1,58,No,No,2026-07-27,2026-08-24,,,
DATA-3008,DATA-3008,DATA,Client Walkthrough - Warehouse migration circular dependency A,In Progress,initiative,INIT-1500,Forecasting Program,Scheduled,,Yes,DATA-3008,Data Engineering,DATA,20.0,10.0,20.5,9.0,11.2,50,No,No,2026-08-17,2026-10-05,,,
DATA-3011,DATA-3011,DATA,Scale Rows - Data Platform - Forecast data mart wave 12,In Progress,initiative,INIT-1500,Forecasting Program,Scheduled,,Yes,DATA-3011,Data Engineering,DATA,19.0,3.0,14.5,5.5,22.9,16,No,No,2026-09-07,2026-10-12,,,
DATA-3014,DATA-3014,DATA,Scale Rows - Data Platform - Quality rule expansion wave 15,In Progress,initiative,INIT-1500,Forecasting Program,Scheduled,,Yes,DATA-3014,Data Engineering,DATA,22.0,11.0,21.0,10.0,11.4,50,No,No,2026-09-28,2026-11-23,,,
DATA-3017,DATA-3017,DATA,Scale Rows - Data Platform - Pipeline observability wave 18,In Progress,initiative,INIT-1500,Forecasting Program,Scheduled,,Yes,DATA-3017,Data Engineering,DATA,19.0,2.0,13.0,0.0,0.0,11,No,No,2026-04-27,2026-06-08,,,
DATA-3020,DATA-3020,DATA,Scale Rows - Data Platform - Streaming ingestion wave 21,In Progress,initiative,INIT-1500,Forecasting Program,Scheduled,,Yes,DATA-3020,Data Engineering,DATA,27.0,11.0,15.0,2.0,2.3,41,No,No,2026-05-18,2026-06-15,,,
DATA-3023,DATA-3023,DATA,Scale Rows - Data Platform - Analytics contract cleanup wave 24,In Progress,initiative,INIT-1500,Forecasting Program,Scheduled,,Yes,DATA-3023,Data Engineering,DATA,19.0,10.0,14.5,3.0,3.8,53,No,No,2026-06-08,2026-07-27,,,
DATA-3026,DATA-3026,DATA,Scale Rows - Data Platform - Metrics certification wave 27,In Progress,initiative,INIT-1500,Forecasting Program,Scheduled,,Yes,DATA-3026,Data Engineering,DATA,24.0,7.0,21.0,4.0,7.1,29,No,No,2026-06-29,2026-08-03,,,
DATA-3029,DATA-3029,DATA,Scale Rows - Data Platform - Retention model update wave 30,In Progress,initiative,INIT-1500,Forecasting Program,Scheduled,,Yes,DATA-3029,Data Engineering,DATA,19.0,6.0,13.0,5.0,10.4,32,No,No,2026-07-20,2026-09-14,,,
DATA-3032,DATA-3032,DATA,Scale Rows - Data Platform - Warehouse model refresh wave 33,In Progress,initiative,INIT-1500,Forecasting Program,Scheduled,,Yes,DATA-3032,Data Engineering,DATA,20.0,10.0,15.0,5.0,6.2,50,No,No,2026-08-10,2026-09-21,,,
DATA-3000,DATA-3000,DATA,Scale Rows - Data Platform - Warehouse model refresh wave 01,To Do,initiative,INIT-300,Data Foundations,Scheduled,,Yes,DATA-3000,Data Engineering,DATA,24.0,11.0,12.5,2.0,2.3,46,No,No,2026-06-22,2026-07-20,,,
DATA-3003,DATA-3003,DATA,Scale Rows - Data Platform - Forecast data mart wave 04,To Do,initiative,INIT-300,Data Foundations,Scheduled,,Yes,DATA-3003,Data Engineering,DATA,19.0,10.0,13.5,3.0,3.8,53,No,No,2026-07-13,2026-08-31,,,
DATA-3006,DATA-3006,DATA,Scale Rows - Data Platform - Quality rule expansion wave 07,To Do,initiative,INIT-300,Data Foundations,Scheduled,,Yes,DATA-3006,Data Engineering,DATA,22.0,7.0,18.5,4.0,7.1,32,No,No,2026-08-03,2026-09-07,,,
DATA-3009,DATA-3009,DATA,Client Walkthrough - Warehouse migration circular dependency B,To Do,initiative,INIT-300,Data Foundations,Scheduled,,Yes,DATA-3009,Data Engineering,DATA,19.0,6.0,12.0,5.0,10.4,32,No,No,2026-08-24,2026-10-19,,,
DATA-3012,DATA-3012,DATA,Scale Rows - Data Platform - Streaming ingestion wave 13,To Do,initiative,INIT-300,Data Foundations,Scheduled,,Yes,DATA-3012,Data Engineering,DATA,27.0,10.0,12.5,5.0,6.2,37,No,No,2026-09-14,2026-10-26,,,
DATA-3015,DATA-3015,DATA,Scale Rows - Data Platform - Analytics contract cleanup wave 16,To Do,initiative,INIT-300,Data Foundations,Scheduled,,Yes,DATA-3015,Data Engineering,DATA,19.0,5.0,13.5,4.0,10.0,26,No,No,2026-10-05,2026-11-02,,,
DATA-3018,DATA-3018,DATA,Scale Rows - Data Platform - Metrics certification wave 19,To Do,initiative,INIT-300,Data Foundations,Scheduled,,Yes,DATA-3018,Data Engineering,DATA,24.0,6.0,18.5,7.0,14.6,25,No,No,2026-05-04,2026-06-22,,,
DATA-3021,DATA-3021,DATA,Scale Rows - Data Platform - Retention model update wave 22,To Do,initiative,INIT-300,Data Foundations,Scheduled,,Yes,DATA-3021,Data Engineering,DATA,19.0,7.0,15.0,4.5,8.0,37,No,No,2026-05-25,2026-06-29,,,
DATA-3024,DATA-3024,DATA,Scale Rows - Data Platform - Warehouse model refresh wave 25,To Do,initiative,INIT-300,Data Foundations,Scheduled,,Yes,DATA-3024,Data Engineering,DATA,20.0,6.0,12.5,5.5,11.5,30,No,No,2026-06-15,2026-08-10,,,
DATA-3027,DATA-3027,DATA,Scale Rows - Data Platform - Forecast data mart wave 28,To Do,initiative,INIT-300,Data Foundations,Scheduled,,Yes,DATA-3027,Data Engineering,DATA,19.0,4.0,13.5,6.5,20.3,21,No,No,2026-07-06,2026-08-17,,,
DATA-3030,DATA-3030,DATA,Scale Rows - Data Platform - Quality rule expansion wave 31,To Do,initiative,INIT-300,Data Foundations,Scheduled,,Yes,DATA-3030,Data Engineering,DATA,22.0,7.0,19.5,6.5,11.6,32,No,No,2026-07-27,2026-08-24,,,
DATA-3033,DATA-3033,DATA,Scale Rows - Data Platform - Pipeline observability wave 34,To Do,initiative,INIT-300,Data Foundations,Scheduled,,Yes,DATA-3033,Data Engineering,DATA,19.0,6.0,15.0,7.5,15.6,32,No,No,2026-08-17,2026-10-05,,,
DATA-3001,DATA-3001,DATA,Scale Rows - Data Platform - Pipeline observability wave 02,In Progress,initiative,INIT-600,Program Reporting,Scheduled,,Yes,DATA-3001,Data Engineering,DATA,19.0,7.0,14.0,4.5,8.0,37,No,No,2026-06-29,2026-08-03,,,
DATA-3004,DATA-3004,DATA,Scale Rows - Data Platform - Streaming ingestion wave 05,In Progress,initiative,INIT-600,Program Reporting,Scheduled,,Yes,DATA-3004,Data Engineering,DATA,27.0,6.0,16.5,5.5,11.5,22,No,No,2026-07-20,2026-09-14,,,
DATA-3007,DATA-3007,DATA,Scale Rows - Data Platform - Analytics contract cleanup wave 08,In Progress,initiative,INIT-600,Program Reporting,Scheduled,,Yes,DATA-3007,Data Engineering,DATA,19.0,4.0,19.0,6.5,20.3,21,No,No,2026-08-10,2026-09-21,,,
DATA-3010,DATA-3010,DATA,Scale Rows - Data Platform - Metrics certification wave 11,In Progress,initiative,INIT-600,Program Reporting,Scheduled,,Yes,DATA-3010,Data Engineering,DATA,21.0,7.0,23.5,6.5,11.6,33,No,No,2026-08-31,2026-09-28,,,
DATA-3013,DATA-3013,DATA,Scale Rows - Data Platform - Retention model update wave 14,In Progress,initiative,INIT-600,Program Reporting,Scheduled,,Yes,DATA-3013,Data Engineering,DATA,19.0,1.0,14.0,1.5,18.8,5,No,No,2026-09-21,2026-11-09,,,
DATA-3016,DATA-3016,DATA,Scale Rows - Data Platform - Warehouse model refresh wave 17,In Progress,initiative,INIT-600,Program Reporting,Scheduled,,Yes,DATA-3016,Data Engineering,DATA,20.0,4.0,16.5,2.0,6.2,20,No,No,2026-10-12,2026-11-16,,,
DATA-3019,DATA-3019,DATA,Scale Rows - Data Platform - Forecast data mart wave 20,In Progress,initiative,INIT-600,Program Reporting,Scheduled,,Yes,DATA-3019,Data Engineering,DATA,19.0,8.0,19.0,2.5,3.9,42,No,No,2026-05-11,2026-07-06,,,
DATA-3022,DATA-3022,DATA,Scale Rows - Data Platform - Quality rule expansion wave 23,In Progress,initiative,INIT-600,Program Reporting,Scheduled,,Yes,DATA-3022,Data Engineering,DATA,22.0,4.0,23.5,7.0,21.9,18,No,No,2026-06-01,2026-07-13,,,
DATA-3025,DATA-3025,DATA,Scale Rows - Data Platform - Pipeline observability wave 26,In Progress,initiative,INIT-600,Program Reporting,Scheduled,,Yes,DATA-3025,Data Engineering,DATA,19.0,11.0,14.0,8.0,9.1,58,No,No,2026-06-22,2026-07-20,,,
DATA-3028,DATA-3028,DATA,Scale Rows - Data Platform - Streaming ingestion wave 29,In Progress,initiative,INIT-600,Program Reporting,Scheduled,,Yes,DATA-3028,Data Engineering,DATA,21.0,10.0,16.5,9.0,11.2,48,No,No,2026-07-13,2026-08-31,,,
DATA-3031,DATA-3031,DATA,Scale Rows - Data Platform - Analytics contract cleanup wave 32,In Progress,initiative,INIT-600,Program Reporting,Scheduled,,Yes,DATA-3031,Data Engineering,DATA,19.0,4.0,15.5,9.0,28.1,21,No,No,2026-08-03,2026-09-07,,,
