jira_key,project_key,summary,status,rollup_mode,rollup_key,rollup_name,resource_group,key_prefix,total_story_points,completed_story_points,percent_complete,in_planning,completed,target_start,target_end,predecessors,successors,dependency_review
WEB-2001,WEB,Scale Rows - Web Experience - Checkout web flow wave 02,In Progress,initiative,INIT-100,Customer Identity And Access,Web Experience,WEB,28.0,12.0,43,False,False,2026-08-03,2026-09-07,,,
WEB-2004,WEB,Scale Rows - Web Experience - Content publishing wave 05,In Progress,initiative,INIT-100,Customer Identity And Access,Web Experience,WEB,24.0,7.0,29,False,False,2026-08-24,2026-10-19,,,
WEB-2007,WEB,Scale Rows - Web Experience - Experiment cleanup wave 08,In Progress,initiative,INIT-100,Customer Identity And Access,Web Experience,WEB,22.0,4.0,18,False,False,2026-03-23,2026-05-04,,,
WEB-2010,WEB,Client Walkthrough - Design system discovery with no pointed child work,To Do,initiative,INIT-100,Customer Identity And Access,Web Experience,WEB,0.0,0.0,0,True,False,2026-04-13,2026-05-11,,,
WEB-2013,WEB,Scale Rows - Web Experience - Navigation refresh wave 14,In Progress,initiative,INIT-100,Customer Identity And Access,Web Experience,WEB,22.0,7.0,32,False,False,2026-05-04,2026-06-22,,,
WEB-2016,WEB,Scale Rows - Web Experience - Search results tuning wave 17,In Progress,initiative,INIT-100,Customer Identity And Access,Web Experience,WEB,19.0,4.0,21,False,False,2026-05-25,2026-06-29,,,
WEB-2019,WEB,Scale Rows - Web Experience - Accessibility remediation wave 20,In Progress,initiative,INIT-100,Customer Identity And Access,Web Experience,WEB,19.0,10.0,53,False,False,2026-06-15,2026-08-10,,,
WEB-2022,WEB,Scale Rows - Web Experience - Localization pass wave 23,In Progress,initiative,INIT-100,Customer Identity And Access,Web Experience,WEB,24.0,7.0,29,False,False,2026-07-06,2026-08-17,,,
WEB-2025,WEB,Scale Rows - Web Experience - Checkout web flow wave 26,In Progress,initiative,INIT-100,Customer Identity And Access,Web Experience,WEB,20.0,4.0,20,False,False,2026-07-27,2026-08-24,,,
WEB-2028,WEB,Scale Rows - Web Experience - Content publishing wave 29,In Progress,initiative,INIT-100,Customer Identity And Access,Web Experience,WEB,27.0,10.0,37,False,False,2026-08-17,2026-10-05,,,
WEB-2031,WEB,Scale Rows - Web Experience - Experiment cleanup wave 32,In Progress,initiative,INIT-100,Customer Identity And Access,Web Experience,WEB,20.0,6.0,30,False,False,2026-09-07,2026-10-12,,,
WEB-2034,WEB,Scale Rows - Web Experience - Homepage personalization wave 35,In Progress,initiative,INIT-100,Customer Identity And Access,Web Experience,WEB,19.0,11.0,58,False,False,2026-04-06,2026-06-01,,,
WEB-2037,WEB,Scale Rows - Web Experience - Navigation refresh wave 38,In Progress,initiative,INIT-100,Customer Identity And Access,Web Experience,WEB,19.0,7.0,37,False,False,2026-04-27,2026-06-08,,,
WEB-2040,WEB,Scale Rows - Web Experience - Search results tuning wave 41,In Progress,initiative,INIT-100,Customer Identity And Access,Web Experience,WEB,28.0,6.0,21,False,False,2026-05-18,2026-06-15,,,
WEB-2043,WEB,Scale Rows - Web Experience - Accessibility remediation wave 44,In Progress,initiative,INIT-100,Customer Identity And Access,Web Experience,WEB,24.0,11.0,46,False,False,2026-06-08,2026-07-27,,,
WEB-2002,WEB,Scale Rows - Web Experience - Homepage personalization wave 03,In Progress,initiative,INIT-1200,Search And Discovery,Web Experience,WEB,27.0,7.0,26,False,False,2026-08-10,2026-09-21,,,
WEB-2005,WEB,Scale Rows - Web Experience - Navigation refresh wave 06,In Progress,initiative,INIT-1200,Search And Discovery,Web Experience,WEB,21.0,4.0,19,False,False,2026-08-31,2026-09-28,,,
WEB-2008,WEB,Client Walkthrough - Web launch self dependency example,In Progress,initiative,INIT-1200,Search And Discovery,Web Experience,WEB,22.0,10.0,45,False,False,2026-03-30,2026-05-18,,,Skipped self-dependency WEB-2008 -> WEB-2008.
WEB-2011,WEB,Scale Rows - Web Experience - Accessibility remediation wave 12,In Progress,initiative,INIT-1200,Search And Discovery,Web Experience,WEB,21.0,7.0,33,False,False,2026-04-20,2026-05-25,,,
WEB-2014,WEB,Scale Rows - Web Experience - Localization pass wave 15,In Progress,initiative,INIT-1200,Search And Discovery,Web Experience,WEB,19.0,3.0,16,False,False,2026-05-11,2026-07-06,,,
WEB-2017,WEB,Scale Rows - Web Experience - Checkout web flow wave 18,In Progress,initiative,INIT-1200,Search And Discovery,Web Experience,WEB,19.0,2.0,11,False,False,2026-06-01,2026-07-13,,,
WEB-2020,WEB,Scale Rows - Web Experience - Content publishing wave 21,In Progress,initiative,INIT-1200,Search And Discovery,Web Experience,WEB,22.0,8.0,36,False,False,2026-06-22,2026-07-20,,,
WEB-2023,WEB,Scale Rows - Web Experience - Experiment cleanup wave 24,In Progress,initiative,INIT-1200,Search And Discovery,Web Experience,WEB,27.0,11.0,41,False,False,2026-07-13,2026-08-31,,,
WEB-2026,WEB,Scale Rows - Web Experience - Homepage personalization wave 27,In Progress,initiative,INIT-1200,Search And Discovery,Web Experience,WEB,24.0,7.0,29,False,False,2026-08-03,2026-09-07,,,
WEB-2029,WEB,Scale Rows - Web Experience - Navigation refresh wave 30,In Progress,initiative,INIT-1200,Search And Discovery,Web Experience,WEB,22.0,4.0,18,False,False,2026-08-24,2026-10-19,,,
WEB-2032,WEB,Scale Rows - Web Experience - Search results tuning wave 33,In Progress,initiative,INIT-1200,Search And Discovery,Web Experience,WEB,19.0,11.0,58,False,False,2026-09-14,2026-10-26,,,
WEB-2035,WEB,Scale Rows - Web Experience - Accessibility remediation wave 36,In Progress,initiative,INIT-1200,Search And Discovery,Web Experience,WEB,19.0,7.0,37,False,False,2026-04-13,2026-05-11,,,
WEB-2038,WEB,Scale Rows - Web Experience - Localization pass wave 39,In Progress,initiative,INIT-1200,Search And Discovery,Web Experience,WEB,19.0,4.0,21,False,False,2026-05-04,2026-06-22,,,
WEB-2041,WEB,Scale Rows - Web Experience - Checkout web flow wave 42,In Progress,initiative,INIT-1200,Search And Discovery,Web Experience,WEB,22.0,11.0,50,False,False,2026-05-25,2026-06-29,,,
WEB-2044,WEB,Scale Rows - Web Experience - Content publishing wave 45,In Progress,initiative,INIT-1200,Search And Discovery,Web Experience,WEB,21.0,7.0,33,False,False,2026-06-15,2026-08-10,,,
WEB-2000,WEB,Scale Rows - Web Experience - Search results tuning wave 01,To Do,initiative,INIT-500,Web Experience Refresh,Web Experience,WEB,24.0,7.0,29,False,False,2026-07-27,2026-08-24,,,
WEB-2003,WEB,Scale Rows - Web Experience - Accessibility remediation wave 04,To Do,initiative,INIT-500,Web Experience Refresh,Web Experience,WEB,22.0,4.0,18,False,False,2026-08-17,2026-10-05,,,
WEB-2006,WEB,Scale Rows - Web Experience - Localization pass wave 07,To Do,initiative,INIT-500,Web Experience Refresh,Web Experience,WEB,27.0,10.0,37,False,False,2026-03-16,2026-04-20,,,
WEB-2009,WEB,Scale Rows - Web Experience - Checkout web flow wave 10,To Do,initiative,INIT-500,Web Experience Refresh,Web Experience,WEB,24.0,6.0,25,False,False,2026-04-06,2026-06-01,,,
WEB-2012,WEB,Scale Rows - Web Experience - Content publishing wave 13,To Do,initiative,INIT-500,Web Experience Refresh,Web Experience,WEB,27.0,11.0,41,False,False,2026-04-27,2026-06-08,,,
WEB-2015,WEB,Scale Rows - Web Experience - Experiment cleanup wave 16,To Do,initiative,INIT-500,Web Experience Refresh,Web Experience,WEB,19.0,7.0,37,False,False,2026-05-18,2026-06-15,,,
WEB-2018,WEB,Scale Rows - Web Experience - Homepage personalization wave 19,To Do,initiative,INIT-500,Web Experience Refresh,Web Experience,WEB,19.0,4.0,21,False,False,2026-06-08,2026-07-27,,,
WEB-2021,WEB,Scale Rows - Web Experience - Navigation refresh wave 22,To Do,initiative,INIT-500,Web Experience Refresh,Web Experience,WEB,32.0,11.0,34,False,False,2026-06-29,2026-08-03,,,
WEB-2024,WEB,Scale Rows - Web Experience - Search results tuning wave 25,To Do,initiative,INIT-500,Web Experience Refresh,Web Experience,WEB,22.0,7.0,32,False,False,2026-07-20,2026-09-14,,,
WEB-2027,WEB,Scale Rows - Web Experience - Accessibility remediation wave 28,To Do,initiative,INIT-500,Web Experience Refresh,Web Experience,WEB,21.0,4.0,19,False,False,2026-08-10,2026-09-21,,,
WEB-2030,WEB,Scale Rows - Web Experience - Localization pass wave 31,To Do,initiative,INIT-500,Web Experience Refresh,Web Experience,WEB,22.0,11.0,50,False,False,2026-08-31,2026-09-28,,,
WEB-2033,WEB,Scale Rows - Web Experience - Checkout web flow wave 34,To Do,initiative,INIT-500,Web Experience Refresh,Web Experience,WEB,19.0,5.0,26,False,False,2026-09-21,2026-11-09,,,
WEB-2036,WEB,Scale Rows - Web Experience - Content publishing wave 37,To Do,initiative,INIT-500,Web Experience Refresh,Web Experience,WEB,19.0,3.0,16,False,False,2026-04-20,2026-05-25,,,
WEB-2039,WEB,Scale Rows - Web Experience - Experiment cleanup wave 40,To Do,initiative,INIT-500,Web Experience Refresh,Web Experience,WEB,19.0,2.0,11,False,False,2026-05-11,2026-07-06,,,
WEB-2042,WEB,Scale Rows - Web Experience - Homepage personalization wave 43,To Do,initiative,INIT-500,Web Experience Refresh,Web Experience,WEB,20.0,6.0,30,False,False,2026-06-01,2026-07-13,,,
