severity,category,jira_key,schedule_key,project_key,issue_type,summary,field,old_value,new_value,color,message,reviewer_action,source_row
Warning,ExcludedMissingRollup,TEAM-105,,TEAM,Epic,Unplanned marketplace experiment,Rollup,,,review_needed,Epic has no initiative parent key.,"Add the required initiative parent or fixVersion in Jira, then rerun.",9
Review,InPlanning,TEAM-107,,TEAM,Epic,Dependency target outside scope,In Planning,,Yes,in_planning,Epic has no pointed child stories/tasks and is marked In Planning.,Confirm this epic is intentionally unestimated or add pointed child work.,11
Warning,MissingDependencyTarget,TEAM-107,TEAM-107,TEAM,Epic,Dependency target outside scope,Dependency Review,,EXT-999,dependency_review,Dependency target 'EXT-999' is not an included epic.,Confirm the target epic is in the Jira export and meets rollup/resource rules.,11
Review,ChangedName,TEAM-101,TEAM-101,TEAM,Epic,Identity and access foundation v2,Name,Identity and access foundation,Identity and access foundation v2,changed_cell,Name changed from 'Identity and access foundation' to 'Identity and access foundation v2'.,Review the changed sandbox cell.,4
Info,ChangedField,TEAM-101,TEAM-101,TEAM,Epic,Identity and access foundation v2,% Complete,38,100,changed_cell,% Complete changed from '38' to '100'.,Review the changed sandbox cell.,4
Info,ChangedField,TEAM-101,TEAM-101,TEAM,Epic,Identity and access foundation v2,Completed Story Points,5,13,changed_cell,Completed Story Points changed from '5' to '13'.,Review the changed sandbox cell.,4
Info,ChangedField,TEAM-101,TEAM-101,TEAM,Epic,Identity and access foundation v2,Jira Target End,2026-09-30,2026-10-05,changed_cell,Jira Target End changed from '2026-09-30' to '2026-10-05'.,Review the changed sandbox cell.,4
Info,CompletedSinceLastUpdate,TEAM-101,TEAM-101,TEAM,Epic,Identity and access foundation v2,Status,In Progress,Done,changed_cell,Epic is now marked done in Jira.,Confirm completed epic can remain inactive/hidden in the sandbox.,4
Info,ChangedField,TEAM-102,TEAM-102,TEAM,Epic,Reporting MVP,% Complete,0,38,changed_cell,% Complete changed from '0' to '38'.,Review the changed sandbox cell.,5
Info,ChangedField,TEAM-102,TEAM-102,TEAM,Epic,Reporting MVP,Completed Story Points,0,3,changed_cell,Completed Story Points changed from '0' to '3'.,Review the changed sandbox cell.,5
Info,ChangedField,TEAM-102,TEAM-102,TEAM,Epic,Reporting MVP,Jira Target Start,2026-10-01,2026-10-06,changed_cell,Jira Target Start changed from '2026-10-01' to '2026-10-06'.,Review the changed sandbox cell.,5
Info,ChangedField,TEAM-102,TEAM-102,TEAM,Epic,Reporting MVP,Jira Target End,2026-10-31,2026-11-06,changed_cell,Jira Target End changed from '2026-10-31' to '2026-11-06'.,Review the changed sandbox cell.,5
Review,RollupMove,TEAM-103,TEAM-103,TEAM,Epic,Billing integration,Rollup Key,PROD-100,PLAT-100,changed_cell,Rollup Key changed from 'PROD-100' to 'PLAT-100'.,Review the changed sandbox cell.,7
Info,ChangedField,TEAM-103,TEAM-103,TEAM,Epic,Billing integration,Jira Target Start,2026-11-01,2026-11-07,changed_cell,Jira Target Start changed from '2026-11-01' to '2026-11-07'.,Review the changed sandbox cell.,7
Info,ChangedField,TEAM-103,TEAM-103,TEAM,Epic,Billing integration,Jira Target End,2026-11-30,2026-12-04,changed_cell,Jira Target End changed from '2026-11-30' to '2026-12-04'.,Review the changed sandbox cell.,7
