jira_key,schedule_key,project_key,summary,status,rollup_mode,rollup_key,rollup_name,row_role,fix_version,drives_schedule,primary_schedule_key,resource_group,key_prefix,total_story_points,completed_story_points,logged_hours,completed_logged_hours,story_point_ratio,percent_complete,in_planning,completed,target_start,target_end,predecessors,successors,dependency_review
PLAT-4000,PLAT-4000,PLAT,Scale Rows - Platform Services - Kubernetes platform upgrade wave 01,To Do,fixVersion,Platform Q1,Platform Q1,Scheduled,Platform Q1,Yes,PLAT-4000,Platform Engineering,PLAT,19.0,8.0,15.5,0.5,128.0,42,No,No,2026-08-31,2026-09-28,,PLAT-4001,
PLAT-4003,PLAT-4003,PLAT,Scale Rows - Platform Services - Shared logging wave 04,To Do,fixVersion,Platform Q1,Platform Q1,Scheduled,Platform Q1,Yes,PLAT-4003,Platform Engineering,PLAT,27.0,10.0,23.5,6.5,12.31,37,No,No,2026-09-21,2026-11-09,PLAT-4002,PLAT-4004,
PLAT-4006,PLAT-4006,PLAT,Scale Rows - Platform Services - Artifact retention wave 07,To Do,fixVersion,Platform Q1,Platform Q1,Scheduled,Platform Q1,Yes,PLAT-4006,Platform Engineering,PLAT,19.0,5.0,14.0,1.5,26.67,26,No,No,2026-10-12,2026-11-16,PLAT-4005,PLAT-4007,
PLAT-4009,PLAT-4009,PLAT,Scale Rows - Platform Services - Build runner rotation wave 10,To Do,fixVersion,Platform Q1,Platform Q1,Scheduled,Platform Q1,Yes,PLAT-4009,Platform Engineering,PLAT,24.0,6.0,16.5,2.0,24.0,25,No,No,2026-11-02,2026-12-28,PLAT-4008,PLAT-4010,
PLAT-4012,PLAT-4012,PLAT,Scale Rows - Platform Services - Service mesh controls wave 13,To Do,fixVersion,Platform Q1,Platform Q1,Scheduled,Platform Q1,Yes,PLAT-4012,Platform Engineering,PLAT,19.0,7.0,15.5,6.0,9.33,37,No,No,2026-06-01,2026-07-13,PLAT-4011,PLAT-4013,
PLAT-4015,PLAT-4015,PLAT,Scale Rows - Platform Services - Deployment guardrails wave 16,To Do,fixVersion,Platform Q1,Platform Q1,Scheduled,Platform Q1,Yes,PLAT-4015,Platform Engineering,PLAT,20.0,6.0,23.5,7.0,6.86,30,No,No,2026-06-22,2026-07-20,PLAT-4014,PLAT-4016,
PLAT-4018,PLAT-4018,PLAT,Scale Rows - Platform Services - Secrets management wave 19,To Do,fixVersion,Platform Q1,Platform Q1,Scheduled,Platform Q1,Yes,PLAT-4018,Platform Engineering,PLAT,19.0,4.0,14.0,8.0,4.0,21,No,No,2026-07-13,2026-08-31,PLAT-4017,PLAT-4019,
PLAT-4021,PLAT-4021,PLAT,Scale Rows - Platform Services - Environment provisioning wave 22,To Do,fixVersion,Platform Q1,Platform Q1,Scheduled,Platform Q1,Yes,PLAT-4021,Platform Engineering,PLAT,22.0,7.0,17.5,8.0,7.0,32,No,No,2026-08-03,2026-09-07,PLAT-4020,PLAT-4022,
PLAT-4024,PLAT-4024,PLAT,Scale Rows - Platform Services - Kubernetes platform upgrade wave 25,To Do,fixVersion,Platform Q1,Platform Q1,Scheduled,Platform Q1,Yes,PLAT-4024,Platform Engineering,PLAT,19.0,6.0,15.5,9.0,5.33,32,No,No,2026-08-24,2026-10-19,,,
PLAT-4027,PLAT-4027,PLAT,Scale Rows - Platform Services - Shared logging wave 28,To Do,fixVersion,Platform Q1,Platform Q1,Scheduled,Platform Q1,Yes,PLAT-4027,Platform Engineering,PLAT,21.0,4.0,23.5,10.0,3.2,19,No,No,2026-09-14,2026-10-26,,,
PLAT-4001,PLAT-4001,PLAT,Scale Rows - Platform Services - Build runner rotation wave 02,In Progress,fixVersion,Platform Q2,Platform Q2,Scheduled,Platform Q2,Yes,PLAT-4001,Platform Engineering,PLAT,21.0,7.0,15.0,8.0,7.0,33,No,No,2026-09-07,2026-10-12,PLAT-4000,PLAT-4002,
PLAT-4004,PLAT-4004,PLAT,Scale Rows - Platform Services - Service mesh controls wave 05,In Progress,fixVersion,Platform Q2,Platform Q2,Scheduled,Platform Q2,Yes,PLAT-4004,Platform Engineering,PLAT,19.0,1.0,14.5,5.5,1.45,5,No,No,2026-09-28,2026-11-23,PLAT-4003,PLAT-4005,
PLAT-4007,PLAT-4007,PLAT,Scale Rows - Platform Services - Deployment guardrails wave 08,In Progress,fixVersion,Platform Q2,Platform Q2,Scheduled,Platform Q2,Yes,PLAT-4007,Platform Engineering,PLAT,20.0,4.0,21.0,10.0,3.2,20,No,No,2026-10-19,2026-11-30,PLAT-4006,PLAT-4008,
PLAT-4010,PLAT-4010,PLAT,Scale Rows - Platform Services - Secrets management wave 11,In Progress,fixVersion,Platform Q2,Platform Q2,Scheduled,Platform Q2,Yes,PLAT-4010,Platform Engineering,PLAT,19.0,6.0,16.0,7.5,6.4,32,No,No,2026-05-18,2026-06-15,PLAT-4009,PLAT-4011,
PLAT-4013,PLAT-4013,PLAT,Scale Rows - Platform Services - Environment provisioning wave 14,In Progress,fixVersion,Platform Q2,Platform Q2,Scheduled,Platform Q2,Yes,PLAT-4013,Platform Engineering,PLAT,22.0,4.0,15.0,2.0,16.0,18,No,No,2026-06-08,2026-07-27,PLAT-4012,PLAT-4014,
PLAT-4016,PLAT-4016,PLAT,Scale Rows - Platform Services - Kubernetes platform upgrade wave 17,In Progress,fixVersion,Platform Q2,Platform Q2,Scheduled,Platform Q2,Yes,PLAT-4016,Platform Engineering,PLAT,19.0,11.0,14.5,3.0,29.33,58,No,No,2026-06-29,2026-08-03,PLAT-4015,PLAT-4017,
PLAT-4019,PLAT-4019,PLAT,Scale Rows - Platform Services - Shared logging wave 20,In Progress,fixVersion,Platform Q2,Platform Q2,Scheduled,Platform Q2,Yes,PLAT-4019,Platform Engineering,PLAT,21.0,10.0,21.0,4.0,20.0,48,No,No,2026-07-20,2026-09-14,PLAT-4018,PLAT-4020,
PLAT-4022,PLAT-4022,PLAT,Scale Rows - Platform Services - Artifact retention wave 23,In Progress,fixVersion,Platform Q2,Platform Q2,Scheduled,Platform Q2,Yes,PLAT-4022,Platform Engineering,PLAT,19.0,4.0,16.0,4.0,8.0,21,No,No,2026-08-10,2026-09-21,PLAT-4021,PLAT-4023,
PLAT-4025,PLAT-4025,PLAT,Scale Rows - Platform Services - Build runner rotation wave 26,In Progress,fixVersion,Platform Q2,Platform Q2,Scheduled,Platform Q2,Yes,PLAT-4025,Platform Engineering,PLAT,24.0,11.0,15.0,5.0,17.6,46,No,No,2026-08-31,2026-09-28,,,
PLAT-4028,PLAT-4028,PLAT,Client Walkthrough - Qualification software reference example,In Progress,fixVersion,Qualification Event 1,Qualification Event 1,Scheduled,Qualification Event 1,Yes,PLAT-4028,Platform Engineering,PLAT,19.0,10.0,14.5,6.0,13.33,53,No,No,2026-09-21,2026-11-09,,,
PLAT-4002,PLAT-4002,PLAT,Scale Rows - Platform Services - Secrets management wave 03,In Progress,fixVersion,Shared Services 2026,Shared Services 2026,Scheduled,Shared Services 2026,Yes,PLAT-4002,Platform Engineering,PLAT,19.0,3.0,15.0,3.0,8.0,16,No,No,2026-09-14,2026-10-26,PLAT-4001,PLAT-4003,
PLAT-4005,PLAT-4005,PLAT,Scale Rows - Platform Services - Environment provisioning wave 06,In Progress,fixVersion,Shared Services 2026,Shared Services 2026,Scheduled,Shared Services 2026,Yes,PLAT-4005,Platform Engineering,PLAT,22.0,11.0,12.5,5.0,17.6,50,No,No,2026-10-05,2026-11-02,PLAT-4004,PLAT-4006,
PLAT-4008,PLAT-4008,PLAT,Scale Rows - Platform Services - Kubernetes platform upgrade wave 09,In Progress,fixVersion,Shared Services 2026,Shared Services 2026,Scheduled,Shared Services 2026,Yes,PLAT-4008,Platform Engineering,PLAT,19.0,2.0,13.5,4.0,4.0,11,No,No,2026-10-26,2026-12-14,PLAT-4007,PLAT-4009,
PLAT-4011,PLAT-4011,PLAT,Scale Rows - Platform Services - Shared logging wave 12,In Progress,fixVersion,Shared Services 2026,Shared Services 2026,Scheduled,Shared Services 2026,Yes,PLAT-4011,Platform Engineering,PLAT,27.0,11.0,19.5,10.0,8.8,41,No,No,2026-05-25,2026-06-29,PLAT-4010,PLAT-4012,
PLAT-4014,PLAT-4014,PLAT,Scale Rows - Platform Services - Artifact retention wave 15,In Progress,fixVersion,Shared Services 2026,Shared Services 2026,Scheduled,Shared Services 2026,Yes,PLAT-4014,Platform Engineering,PLAT,19.0,10.0,15.0,4.5,17.78,53,No,No,2026-06-15,2026-08-10,PLAT-4013,PLAT-4015,
