jira_key,schedule_key,project_key,summary,status,rollup_mode,rollup_key,rollup_name,row_role,fix_version,drives_schedule,primary_schedule_key,resource_group,key_prefix,total_story_points,completed_story_points,logged_hours,completed_logged_hours,story_points_per_8_hours,percent_complete,in_planning,completed,target_start,target_end,predecessors,successors,dependency_review
CORE-1000,CORE-1000,CORE,Client Walkthrough - Identity API renamed in Jira,To Do,initiative,INIT-100,Customer Identity And Access,Scheduled,,Yes,CORE-1000,Core Product Engineering,CORE,24.0,7.0,16.0,4.5,12.44,29,No,No,2026-02-02,2026-03-09,,,
CORE-1004,CORE-1004,CORE,Client Walkthrough - Payment cutover schedule driver candidate,In Progress,initiative,INIT-100,Customer Identity And Access,Scheduled,,Yes,CORE-1004,Core Product Engineering,CORE,27.0,11.0,20.0,8.0,11.0,41,No,No,2026-03-02,2026-06-01,,CORE-1005,
CORE-1008,CORE-1008,CORE,Scale Rows - Core Product - Profile service rollout wave 09,In Progress,initiative,INIT-100,Customer Identity And Access,Scheduled,,Yes,CORE-1008,Core Product Engineering,CORE,19.0,6.0,13.0,5.0,9.6,32,No,No,2026-03-30,2026-05-18,,CORE-1009,
CORE-1012,CORE-1012,CORE,Scale Rows - Core Product - Account recovery wave 13,To Do,initiative,INIT-100,Customer Identity And Access,Scheduled,,Yes,CORE-1012,Core Product Engineering,CORE,19.0,6.0,15.0,7.5,6.4,32,No,No,2026-04-27,2026-06-08,CORE-1011,CORE-1013,
CORE-1016,CORE-1016,CORE,Scale Rows - Core Product - Profile service rollout wave 17,In Progress,initiative,INIT-100,Customer Identity And Access,Scheduled,,Yes,CORE-1016,Core Product Engineering,CORE,19.0,10.0,14.0,4.5,17.78,53,No,No,2026-05-25,2026-06-29,CORE-1015,CORE-1017,
CORE-1020,CORE-1020,CORE,Scale Rows - Core Product - Account recovery wave 21,In Progress,initiative,INIT-100,Customer Identity And Access,Scheduled,,Yes,CORE-1020,Core Product Engineering,CORE,19.0,2.0,16.0,4.5,3.56,11,No,No,2026-06-22,2026-07-20,CORE-1019,CORE-1021,
CORE-1024,CORE-1024,CORE,Scale Rows - Core Product - Profile service rollout wave 25,To Do,initiative,INIT-100,Customer Identity And Access,Scheduled,,Yes,CORE-1024,Core Product Engineering,CORE,19.0,3.0,15.0,3.0,8.0,16,No,No,2026-07-20,2026-09-14,CORE-1023,CORE-1025,
CORE-1028,CORE-1028,CORE,Scale Rows - Core Product - Account recovery wave 29,In Progress,initiative,INIT-100,Customer Identity And Access,Scheduled,,Yes,CORE-1028,Core Product Engineering,CORE,19.0,5.0,14.0,1.5,26.67,26,No,No,2026-02-23,2026-04-13,CORE-1027,CORE-1029,
CORE-1032,CORE-1032,CORE,Scale Rows - Core Product - Profile service rollout wave 33,In Progress,initiative,INIT-100,Customer Identity And Access,Scheduled,,Yes,CORE-1032,Core Product Engineering,CORE,19.0,6.0,16.0,7.5,6.4,32,No,No,2026-03-23,2026-05-04,CORE-1031,,
CORE-1036,CORE-1036,CORE,Scale Rows - Core Product - Account recovery wave 37,To Do,initiative,INIT-100,Customer Identity And Access,Scheduled,,Yes,CORE-1036,Core Product Engineering,CORE,19.0,10.0,15.0,4.5,17.78,53,No,No,2026-04-20,2026-05-25,,,
CORE-1040,CORE-1040,CORE,Scale Rows - Core Product - Profile service rollout wave 41,In Progress,initiative,INIT-100,Customer Identity And Access,Scheduled,,Yes,CORE-1040,Core Product Engineering,CORE,19.0,10.0,17.0,7.0,11.43,53,No,No,2026-05-18,2026-06-15,,,
CORE-1044,CORE-1044,CORE,Scale Rows - Core Product - Account recovery wave 45,In Progress,initiative,INIT-100,Customer Identity And Access,Scheduled,,Yes,CORE-1044,Core Product Engineering,CORE,19.0,4.0,16.0,4.0,8.0,21,No,No,2026-06-15,2026-08-10,,,
CORE-1980,CORE-1980,CORE,Client Walkthrough - Mobile onboarding added after baseline,To Do,initiative,INIT-100,Customer Identity And Access,Scheduled,,Yes,CORE-1980,Core Product Engineering,CORE,22.0,0.0,5.25,0.0,0.0,0,No,No,2026-09-08,2026-10-20,,,
CORE-1001,CORE-1001,CORE,Client Walkthrough - Login service progress example,In Progress,initiative,INIT-200,Revenue And Billing Modernization,Scheduled,,Yes,CORE-1001,Core Product Engineering,CORE,27.0,17.0,38.0,22.0,6.18,63,No,No,2026-02-12,2026-03-30,,CORE-1007,
CORE-1003,CORE-1003,CORE,Client Walkthrough - Billing integration rollup move example,To Do,initiative,INIT-200,Revenue And Billing Modernization,Scheduled,,Yes,CORE-1003,Core Product Engineering,CORE,22.0,8.0,15.5,8.5,7.53,36,No,No,2026-02-23,2026-04-13,,,
CORE-1005,CORE-1005,CORE,Client Walkthrough - Payment cutover downstream dependency,In Progress,initiative,INIT-200,Revenue And Billing Modernization,Scheduled,,Yes,CORE-1005,Core Product Engineering,CORE,32.0,15.0,26.5,9.5,12.63,47,No,No,2026-03-09,2026-04-06,CORE-1004,,
CORE-1009,CORE-1009,CORE,Scale Rows - Core Product - Entitlement cleanup wave 10,To Do,initiative,INIT-200,Revenue And Billing Modernization,Scheduled,,Yes,CORE-1009,Core Product Engineering,CORE,27.0,11.0,18.5,7.5,11.73,41,No,No,2026-04-06,2026-06-01,CORE-1008,CORE-1010,
CORE-1013,CORE-1013,CORE,Scale Rows - Core Product - API gateway refresh wave 14,In Progress,initiative,INIT-200,Revenue And Billing Modernization,Scheduled,,Yes,CORE-1013,Core Product Engineering,CORE,24.0,11.0,23.5,10.0,8.8,46,No,No,2026-05-04,2026-06-22,CORE-1012,CORE-1014,
CORE-1017,CORE-1017,CORE,Scale Rows - Core Product - Entitlement cleanup wave 18,In Progress,initiative,INIT-200,Revenue And Billing Modernization,Scheduled,,Yes,CORE-1017,Core Product Engineering,CORE,27.0,6.0,21.0,7.0,6.86,22,No,No,2026-06-01,2026-07-13,CORE-1016,CORE-1018,
CORE-1021,CORE-1021,CORE,Scale Rows - Core Product - API gateway refresh wave 22,To Do,initiative,INIT-200,Revenue And Billing Modernization,Scheduled,,Yes,CORE-1021,Core Product Engineering,CORE,24.0,6.0,19.5,3.0,16.0,25,No,No,2026-06-29,2026-08-03,CORE-1020,CORE-1022,
