Issue key,Issue id,Issue Type,Summary,Epic Link,Parent,Fix versions,Story Points,Logged Hours,Status,Resolution,Target start,Target end,Outward issue link (Blocks),Inward issue link (Blocks)
INIT-100,100000,Initiative,Customer Identity And Access,,,Portfolio 2026,,,In Progress,,2026-01-05,2026-07-04,,
INIT-200,100001,Initiative,Revenue And Billing Modernization,,,Portfolio 2026,,,In Progress,,2026-01-19,2026-07-18,,
INIT-300,100002,Initiative,Data Foundations,,,Portfolio 2026,,,In Progress,,2026-02-02,2026-08-01,,
INIT-400,100003,Initiative,Operational Readiness,,,Portfolio 2026,,,In Progress,,2026-02-16,2026-08-15,,
INIT-500,100004,Initiative,Web Experience Refresh,,,Portfolio 2026,,,In Progress,,2026-03-02,2026-08-29,,
INIT-600,100005,Initiative,Program Reporting,,,Portfolio 2026,,,In Progress,,2026-03-16,2026-09-12,,
INIT-700,100006,Initiative,Security Hardening,,,Portfolio 2026,,,In Progress,,2026-03-30,2026-09-26,,
INIT-800,100007,Initiative,Integrations Roadmap,,,Portfolio 2026,,,In Progress,,2026-04-13,2026-10-10,,
INIT-900,100008,Initiative,Planning Backlog,,,Portfolio 2026,,,In Progress,,2026-04-27,2026-10-24,,
INIT-1000,100009,Initiative,Partner Enablement,,,Portfolio 2026,,,In Progress,,2026-05-11,2026-11-07,,
INIT-1100,100010,Initiative,Compliance Controls,,,Portfolio 2026,,,In Progress,,2026-05-25,2026-11-21,,
INIT-1200,100011,Initiative,Search And Discovery,,,Portfolio 2026,,,In Progress,,2026-06-08,2026-12-05,,
INIT-1300,100012,Initiative,Mobile Architecture,,,Portfolio 2026,,,In Progress,,2026-06-22,2026-12-19,,
INIT-1400,100013,Initiative,Release Governance,,,Portfolio 2026,,,In Progress,,2026-07-06,2027-01-02,,
INIT-1500,100014,Initiative,Forecasting Program,,,Portfolio 2026,,,In Progress,,2026-07-20,2027-01-16,,
CORE-1000,200000,Epic,Client Walkthrough - Identity API name before Jira rename,,INIT-100,Portfolio 2026,,,To Do,,2026-02-02,2026-03-02,,
CORE-1001,200001,Epic,Client Walkthrough - Login service progress example,,INIT-200,Portfolio 2026,,,In Progress,,2026-02-09,2026-03-16,,
CORE-1002,200002,Epic,Client Walkthrough - Access audit completion example,,INIT-700,Portfolio 2026,,,In Progress,,2026-02-16,2026-03-30,,
CORE-1003,200003,Epic,Client Walkthrough - Billing integration rollup move example,,INIT-100,Portfolio 2026,,,To Do,,2026-02-23,2026-04-13,,
CORE-1004,200004,Epic,Client Walkthrough - Payment cutover schedule driver candidate,,INIT-100,Portfolio 2026,,,In Progress,,2026-03-02,2026-04-27,CORE-1005,
CORE-1005,200005,Epic,Client Walkthrough - Payment cutover downstream dependency,,INIT-200,Portfolio 2026,,,In Progress,,2026-03-09,2026-04-06,,
CORE-1006,200006,Epic,Client Walkthrough - Vendor gateway missing dependency example,,INIT-700,Portfolio 2026,,,To Do,,2026-03-16,2026-04-20,,
CORE-1007,200007,Epic,Client Walkthrough - Account settings dependency change example,,INIT-800,Portfolio 2026,,,In Progress,,2026-03-23,2026-05-04,,
CORE-1048,200048,Epic,Client Walkthrough - Legacy schedule item present only in baseline,,INIT-100,Portfolio 2026,,,To Do,,2026-07-13,2026-08-31,,
CORE-1049,200049,Epic,Client Walkthrough - Marketplace experiment missing rollup example,,INIT-200,Portfolio 2026,,,In Progress,,2026-07-20,2026-09-14,,
WEB-2008,200058,Epic,Client Walkthrough - Web launch self dependency example,,INIT-1200,Portfolio 2026,,,In Progress,,2026-03-30,2026-05-18,,
WEB-2010,200060,Epic,Client Walkthrough - Design system discovery with no pointed child work,,INIT-100,Portfolio 2026,,,To Do,,2026-04-13,2026-05-11,,
DATA-3008,200103,Epic,Client Walkthrough - Warehouse migration circular dependency A,,INIT-1500,Portfolio 2026,,,In Progress,,2026-08-17,2026-10-05,,
DATA-3009,200104,Epic,Client Walkthrough - Warehouse migration circular dependency B,,INIT-300,Portfolio 2026,,,To Do,,2026-08-24,2026-10-19,,
DATA-3034,200129,Epic,Client Walkthrough - Forecast refresh invalid date example,,INIT-600,Portfolio 2026,,,In Progress,,2026-08-24,2026-10-19,,
PLAT-4028,200158,Epic,Client Walkthrough - Qualification software reference example,,INIT-400,Qualification Event 1,,,In Progress,,2026-09-21,2026-11-09,,
PLAT-4029,200159,Epic,Client Walkthrough - Deployment runner fixVersion example,,INIT-400,Shared Services 2026,,,In Progress,,2026-09-28,2026-11-23,,
OPS-5019,200179,Epic,Client Walkthrough - Shop deliverable split fixVersion example,,INIT-400,Qualification Event 2,,,In Progress,,2026-08-24,2026-10-19,,
UNK-9000,200180,Epic,Client Walkthrough - Unknown team prefix example,,INIT-100,Portfolio 2026,,,To Do,,2026-08-31,2026-09-28,,
WEB-2000,200050,Epic,Scale Rows - Web Experience - Search results tuning wave 01,,INIT-500,Portfolio 2026,,,To Do,,2026-07-27,2026-08-24,,
WEB-2001,200051,Epic,Scale Rows - Web Experience - Checkout web flow wave 02,,INIT-100,Portfolio 2026,,,In Progress,,2026-08-03,2026-09-07,,
WEB-2020,200070,Epic,Scale Rows - Web Experience - Content publishing wave 21,,INIT-1200,Portfolio 2026,,,In Progress,,2026-06-22,2026-07-20,,
WEB-2011,200061,Epic,Scale Rows - Web Experience - Accessibility remediation wave 12,,INIT-1200,Portfolio 2026,,,In Progress,,2026-04-20,2026-05-25,,
WEB-2002,200052,Epic,Scale Rows - Web Experience - Homepage personalization wave 03,,INIT-1200,Portfolio 2026,,,In Progress,,2026-08-10,2026-09-21,,
WEB-2030,200080,Epic,Scale Rows - Web Experience - Localization pass wave 31,,INIT-500,Portfolio 2026,,,To Do,,2026-08-31,2026-09-28,,
WEB-2021,200071,Epic,Scale Rows - Web Experience - Navigation refresh wave 22,,INIT-500,Portfolio 2026,,,To Do,,2026-06-29,2026-08-03,,
WEB-2012,200062,Epic,Scale Rows - Web Experience - Content publishing wave 13,,INIT-500,Portfolio 2026,,,To Do,,2026-04-27,2026-06-08,,
