jira_key,schedule_key,project_key,summary,status,rollup_mode,rollup_key,rollup_name,row_role,fix_version,drives_schedule,primary_schedule_key,resource_group,key_prefix,total_story_points,completed_story_points,logged_hours,completed_logged_hours,story_point_ratio,percent_complete,in_planning,completed,target_start,target_end,predecessors,successors,dependency_review
WEB-2001,WEB-2001,WEB,Scale Rows - Web Experience - Checkout web flow wave 02,In Progress,initiative,INIT-100,Customer Identity And Access,Scheduled,,Yes,WEB-2001,Web Experience,WEB,27.0,11.0,20.0,8.0,11.0,41,No,No,2026-08-03,2026-09-07,WEB-2000,WEB-2002,
WEB-2004,WEB-2004,WEB,Scale Rows - Web Experience - Content publishing wave 05,In Progress,initiative,INIT-100,Customer Identity And Access,Scheduled,,Yes,WEB-2004,Web Experience,WEB,24.0,7.0,20.5,6.0,9.33,29,No,No,2026-08-24,2026-10-19,WEB-2003,WEB-2005,
WEB-2007,WEB-2007,WEB,Scale Rows - Web Experience - Experiment cleanup wave 08,In Progress,initiative,INIT-100,Customer Identity And Access,Scheduled,,Yes,WEB-2007,Web Experience,WEB,22.0,4.0,21.0,4.0,8.0,18,No,No,2026-03-23,2026-05-04,WEB-2006,WEB-2009,
WEB-2010,WEB-2010,WEB,Client Walkthrough - Design system discovery with no pointed child work,To Do,initiative,INIT-100,Customer Identity And Access,Scheduled,,Yes,WEB-2010,Web Experience,WEB,0.0,0.0,0.0,0.0,0.0,0,Yes,No,2026-04-13,2026-05-11,,,
WEB-2013,WEB-2013,WEB,Scale Rows - Web Experience - Navigation refresh wave 14,In Progress,initiative,INIT-100,Customer Identity And Access,Scheduled,,Yes,WEB-2013,Web Experience,WEB,19.0,7.0,13.0,8.0,7.0,37,No,No,2026-05-04,2026-06-22,WEB-2012,WEB-2014,
WEB-2016,WEB-2016,WEB,Scale Rows - Web Experience - Search results tuning wave 17,In Progress,initiative,INIT-100,Customer Identity And Access,Scheduled,,Yes,WEB-2016,Web Experience,WEB,19.0,4.0,14.5,6.0,5.33,21,No,No,2026-05-25,2026-06-29,WEB-2015,WEB-2017,
WEB-2019,WEB-2019,WEB,Scale Rows - Web Experience - Accessibility remediation wave 20,In Progress,initiative,INIT-100,Customer Identity And Access,Scheduled,,Yes,WEB-2019,Web Experience,WEB,19.0,10.0,16.0,4.0,20.0,53,No,No,2026-06-15,2026-08-10,WEB-2018,WEB-2020,
WEB-2022,WEB-2022,WEB,Scale Rows - Web Experience - Localization pass wave 23,In Progress,initiative,INIT-100,Customer Identity And Access,Scheduled,,Yes,WEB-2022,Web Experience,WEB,21.0,7.0,21.0,10.0,5.6,33,No,No,2026-07-06,2026-08-17,WEB-2021,WEB-2023,
WEB-2025,WEB-2025,WEB,Scale Rows - Web Experience - Checkout web flow wave 26,In Progress,initiative,INIT-100,Customer Identity And Access,Scheduled,,Yes,WEB-2025,Web Experience,WEB,20.0,4.0,15.0,8.0,4.0,20,No,No,2026-07-27,2026-08-24,WEB-2024,WEB-2026,
WEB-2028,WEB-2028,WEB,Scale Rows - Web Experience - Content publishing wave 29,In Progress,initiative,INIT-100,Customer Identity And Access,Scheduled,,Yes,WEB-2028,Web Experience,WEB,27.0,10.0,15.5,6.0,13.33,37,No,No,2026-08-17,2026-10-05,,,
