color,case,jira_key,baseline_csv_row,updated_csv_row,expected_category,expected_report_section,reviewer_lesson
Green,Changed Jira summary,CORE-1000,17,17,ChangedName,Changed Names,The sandbox task name follows Jira and the changed cell is highlighted.
Green,Percent and Jira target date changes,CORE-1001,18,18,ChangedField,Date Review,Child story completion changes percent complete and target dates are logged.
Green,Logged hours and story-point rate changed,CORE-1001,18,18,ChangedField,Changed Fields,Child story worklog hours roll up to the epic and changed logged-hour and story-point-rate cells are highlighted.
Green,New included epic,CORE-1980,,25,AddedEpic,Added Epics,A new valid epic is added to the sandbox and listed for review.
Green,Valid dependency change,CORE-1007,24,24,DependencyChange,Dependency Review,A new valid predecessor is written as a changed predecessor cell.
Red,Project auto-schedule cascade root,CORE-1004,21,21,CriticalPathCascadeRoot,Date Review,Red appears only during Windows Microsoft Project update when this finish-date shift is selected as the root driver.
Green,Downstream cascade item,CORE-1005,22,22,CascadingDateChange,Date Review,Downstream auto-scheduled finish-date changes remain green after the red root is selected.
Yellow/amber,Unknown Jira key prefix,UNK-9000,35,35,ExcludedUnknownPrefix,Excluded Items,Unknown prefixes are excluded until the configuration maps them to a resource group.
Yellow/amber,Missing initiative parent,CORE-1049,26,26,ExcludedMissingRollup,Excluded Items,Initiative-mode teams must provide a parent initiative.
Yellow/amber,Missing fixVersion,PLAT-4029,33,33,ExcludedMissingRollup,Excluded Items,fixVersion-mode teams still need at least one fixVersion.
Report-only,Default reference multi-fixVersion,PLAT-4028,32,32,MultiFixVersionReference,Multi-FixVersion Epics,Default reference policy creates one driving primary row and one non-driving reference row.
Report-only,Configured split multi-fixVersion,OPS-5019,34,34,MultiFixVersionSplit,Multi-FixVersion Epics,Split policy creates one driving schedule row per fixVersion.
Yellow/amber,Baseline-only unmatched item,CORE-1048,25,,UnmatchedProjectTask,Unmatched Project Tasks,Items present in the baseline but missing from the updated plan are flagged for manager decision.
Blue,Missing dependency target,CORE-1006,23,23,MissingDependencyTarget,Dependency Review,Dependency targets must be included epics or they are skipped and reported.
Blue,Self dependency,WEB-2008,27,27,SelfDependencySkipped,Dependency Review,An epic cannot block itself.
Blue,Circular dependency,DATA-3009,30,30,CircularDependencySkipped,Dependency Review,Circular blocker links are skipped to prevent invalid Project scheduling.
Gray/green-gray,In planning epic,WEB-2010,28,28,InPlanning,In Planning,An included epic with no pointed child work is marked In Planning with 0 percent complete.
No color,Blank Jira key row,,201,201,CsvRowMissingJiraKey,Reviewer Action Needed,A blank Jira-key row is skipped and reported as source CSV cleanup.
No color,Orphan child story,CORE-899999,202,202,StoryMissingEpicLink,Reviewer Action Needed,A child story with no Epic Link is skipped from percent-complete math and reported.
