rollup_key,project_key,name,rollup_mode,child_epic_count,driving_epic_count,reference_epic_count,total_story_points,completed_story_points,logged_hours,completed_logged_hours,story_point_ratio,percent_complete
Legacy Platform Release,PLAT,Legacy Platform Release,fixVersion,1,1,0,22.0,22.0,16.0,16.0,11.0,100
Operations Q1,OPS,Operations Q1,fixVersion,9,9,0,190.0,65.0,139.5,28.5,18.25,34
Operations Q2,OPS,Operations Q2,fixVersion,9,9,0,190.0,73.0,157.5,58.0,10.07,38
Operations Recent Release,OPS,Operations Recent Release,fixVersion,1,1,0,22.0,22.0,20.0,20.0,8.8,100
Platform Q1,PLAT,Platform Q1,fixVersion,9,9,0,188.0,59.0,155.5,48.5,9.73,31
Platform Q2,PLAT,Platform Q2,fixVersion,9,9,0,184.0,58.0,148.0,49.0,9.47,32
Qualification Event 1,PLAT,Qualification Event 1,fixVersion,1,1,0,20.0,10.0,18.0,6.0,13.33,50
Qualification Event 2,OPS,Qualification Event 2,fixVersion,1,1,0,20.0,4.0,18.0,9.0,3.56,20
Resolved Date Review Release,PLAT,Resolved Date Review Release,fixVersion,1,1,0,24.0,24.0,24.0,24.0,8.0,100
Shared Services 2026,PLAT,Shared Services 2026,fixVersion,8,8,0,169.0,65.0,124.0,44.0,11.82,38
Shop Deliverable A,PLAT,Shop Deliverable A,fixVersion,1,0,1,0,0,18.0,6.0,13.33,50
Shop Deliverable B,OPS,Shop Deliverable B,fixVersion,1,1,0,20.0,4.0,18.0,9.0,3.56,20
INIT-100,MULTIPLE,Customer Identity And Access,initiative,28,28,0,570.0,186.0,421.75,146.5,10.16,33
INIT-1200,WEB,Search And Discovery,initiative,15,15,0,317.0,101.0,256.0,92.5,8.74,32
INIT-1500,DATA,Forecasting Program,initiative,11,11,0,231.0,85.0,181.5,58.5,11.62,37
INIT-200,CORE,Revenue And Billing Modernization,initiative,13,13,0,324.0,121.0,285.0,110.5,8.76,37
INIT-300,DATA,Data Foundations,initiative,12,12,0,261.0,85.0,179.5,60.5,11.24,33
INIT-500,WEB,Web Experience Refresh,initiative,15,15,0,315.0,95.0,257.0,84.0,9.05,30
INIT-600,DATA,Program Reporting,initiative,12,12,0,257.0,77.0,216.0,72.0,8.56,30
INIT-700,CORE,Security Hardening,initiative,12,12,0,233.0,95.0,185.5,81.0,9.38,41
INIT-800,CORE,Integrations Roadmap,initiative,11,11,0,243.0,91.0,167.0,61.5,11.84,37
